%%MeanShape Landmark Locations
400.579,633.77
403.207,658.356
406.814,684.185
411.412,709.829
417.062,735.342
423.852,760.463
431.725,785.338
441.165,809.637
452.445,833.04
465.801,855.356
480.842,876.516
497.086,896.487
514.811,915.258
533.648,932.713
553.749,948.849
575.062,963.197
597.749,975.461
621.593,985.046
646.475,991.747
672.004,995.647
697.822,996.911
723.612,995.056
749.002,990.061
773.647,982.202
797.284,971.786
819.609,958.839
840.496,943.689
860.012,927.003
878.331,908.706
895.396,889.464
911.312,869.113
925.534,847.524
938.104,824.844
948.881,801.227
957.878,776.782
965.129,751.674
970.867,726.217
975.575,700.549
979.288,674.74
982.022,648.743
983.61,621.648
634.94,620.349
625.307,638.161
614.927,657
608.733,677.299
613.254,697.24
629.37,710.29
649.677,716.471
670.625,719.563
691.991,720.911
713.347,719.231
734.347,715.644
754.774,709.379
771.317,696.738
776.393,676.803
770.409,656.54
759.24,638.231
748.273,618.693
576.834,799.367
591.862,790.385
608.762,784.416
626.408,779.705
644.629,776.443
663.291,774.72
682.218,774.403
701.268,774.152
720.25,773.492
739.202,773.496
757.874,774.989
775.884,778.389
791.883,784.788
801.071,796.332
798.704,811.868
787.926,826.15
773.777,838.273
757.926,848.02
740.813,855.192
722.693,859.841
703.817,862.104
684.715,862.051
665.99,859.566
648.155,854.53
631.397,846.953
615.898,837.129
601.633,825.644
588.501,813.011
591.304,800.828
605.366,798.443
619.921,797.414
634.684,796.815
649.63,796.814
664.737,797.287
679.93,797.756
695.16,797.741
710.373,797.012
725.517,796.006
740.556,795.181
755.353,794.716
769.669,794.943
783.042,796.529
789.291,802.495
777.214,808.398
763.613,812.817
749.486,816.366
734.955,819.2
720.092,821.316
704.989,822.694
689.76,823.043
674.631,822.117
659.8,820.208
645.295,817.587
631.092,814.376
617.274,810.685
603.885,806.359
763.64,533.467
770.527,524.518
779.386,517.105
789.193,511.164
799.712,506.795
810.891,504.148
822.559,503.298
834.251,504.332
845.426,507.109
855.78,511.847
864.558,519.011
863.864,529.329
854.2,535.063
843.363,538.585
831.957,540.628
820.184,541.378
808.35,541.078
796.663,539.965
785.138,538.469
773.826,536.975
608.032,532.08
601.477,523.884
592.337,517.76
582.325,513.376
571.629,510.678
560.45,509.617
549.183,510.24
538.291,512.466
528.004,516.305
518.545,521.981
510.444,529.413
515.554,536.454
525.222,541.335
535.773,544.382
546.845,545.978
558.205,546.314
569.555,545.571
580.707,544.074
591.701,542.191
602.413,539.664
739.304,463.992
750.314,448.232
767.91,439.418
786.888,433.941
806.506,430.421
826.449,428.305
846.464,427.719
866.2,429.823
884.901,435.564
901.725,445.417
914.976,459.558
909.76,473.131
891.529,469.19
872.868,463.937
853.4,461.222
833.562,461.183
813.754,463.203
794.154,466.623
774.663,470.521
755.278,472.508
627.448,465.313
615.978,450.658
597.867,442.75
578.414,438.023
558.369,435.321
538.09,434.36
517.999,435.399
498.575,439.546
480.498,447.44
464.621,459.417
452.397,474.958
459.358,484.743
477.779,480.683
496.212,474.315
515.338,469.84
535.217,468.221
555.361,468.958
575.4,471.347
595.297,474.645
615.261,476.369
